track_name,track_id,artist_name,cosine_dist,predicted_genre,danceability,energy,loudness,acousticness,valence,tempo
Sa Tuwina,0usgKAEVvjEXEEcCQsqBOV,TJ Monterde,0.014054478148144312,hopeful,0.744,0.47,0.7684173266669618,0.445,0.451,0.4880147716564059
We Could Happen,5fftYmDDPVlOBS9cOo7672,Moira Dela Torre,0.01409971570255697,hopeful,0.629,0.382,0.6646608557143491,0.648,0.527,0.3735105166731244
Tell Nobody,7o4wWaDR0cTcnOWD385o3O,Moira Dela Torre,0.01433595713757796,hopeful,0.777,0.463,0.784301579576125,0.54,0.587,0.5741094193227425
Knots,4jXiylt6Qg9gjAvlKIUZ95,Moira Dela Torre,0.01450863215724385,hopeful,0.657,0.491,0.749214636520508,0.576,0.592,0.6694315686752865
Wala Nang Kulang Pa,2FpJL9TwVqUgsRdmMA4PED,Moira Dela Torre,0.014567124393795483,hopeful,0.666,0.679,0.8045219238086811,0.479,0.511,0.6884893015513108
Killing Me Softly,26ZRCanufhancm8ARsPmVg,KZ Tandingan,0.014713645986769386,hopeful,0.795,0.539,0.7033759568160701,0.533,0.612,0.4258857971097685
Start Again,6qYPHUvnIAvld1ZhSA4Tud,Rico Blanco,0.014785153308787824,hopeful,0.587,0.434,0.7585947524445822,0.533,0.251,0.4357877818119197
Tayo Na Lang,67Tw5ABy38iNp3hEpLptdX,Michael Pangilinan,0.015256848756176944,hopeful,0.749,0.602,0.7646121853015355,0.484,0.629,0.6407923501188716
Larawan (feat. Flow G),6n5ejwYGkCRimsj1anvShG,John Roa,0.015448680974950446,hopeful,0.607,0.522,0.7371355249767709,0.7,0.665,0.6616056522633449
Kaibigan Mo,2meEAmZCXr2dud0RRYyfZt,Sarah Geronimo,0.01563662288115797,hopeful,0.53,0.534,0.6977124905977613,0.652,0.476,0.6691971738683276
Be My Fairytale,4fUZ0djNmv3ouOk8Qr5mJJ,Moira Dela Torre,0.01579506142020104,hopeful,0.738,0.636,0.8185920976947925,0.492,0.756,0.5788020990294142
Jeepney Love Story,6erW7O4bP0NZH5867OT71t,Yeng Constantino,0.016201319062382202,hopeful,0.604,0.443,0.7059864607760719,0.435,0.242,0.4015661399958861
Kamakailan Lang,3VDmXFIt9fxymAe1WPksD5,Nyoy Volante,0.01633312028874334,hopeful,0.641,0.558,0.7815583381266318,0.776,0.72,0.6977981238848308
Wrecking Ball,2p7R8CfJ3qvUBUvVjkRSZ2,Rico Blanco,0.01656847727144717,hopeful,0.653,0.472,0.8631918941639752,0.581,0.505,0.7172768106998837
Kahit Sa Panaginip Na Lang,0t2Ie994JfDinJeKq1tbYu,Join The Club,0.01664036168897942,hopeful,0.704,0.704,0.8348745630724306,0.405,0.4,0.4305067233041057
"Isang Linggong Pag-Ibig - From ""Sin Island""",1iYIpRIAcNL6WvW5SLl8dN,KZ Tandingan,0.016721744643241276,hopeful,0.412,0.631,0.8565107738595639,0.528,0.336,0.3743428574162038
Even If,410LXtkrWPStKNn9ErGpDy,Yeng Constantino,0.016839234680660287,hopeful,0.484,0.59,0.7385956373611787,0.662,0.26,0.3679185262785279
Even If - Live,407kUIm59MX08i8XUb0dwu,Yeng Constantino,0.016839234680660287,hopeful,0.484,0.59,0.7385956373611787,0.662,0.26,0.3679185262785279
With a Smile,17bzhp2THCnzSJlymvAP36,Daniel Padilla,0.017240878964851825,hopeful,0.577,0.628,0.7317375337374453,0.333,0.387,0.3586527560524087
Hanap-Hanap,1CcCZrERyhyi2JLdbEYJok,James Reid,0.01728176129236425,hopeful,0.716,0.71,0.8669085438697404,0.415,0.694,0.4543097551291802
You're My You,58bROXWH764oojk4JBuXTh,Nyoy Volante,0.017333456755284082,hopeful,0.416,0.56,0.572142825538693,0.566,0.273,0.4592750981827226
Dedma,3bjWcffGJnZJ7ofpNlOADi,Julie Anne San Jose,0.017386563786733866,hopeful,0.728,0.851,0.7110747312065838,0.703,0.482,0.6609120349774454
Baliw Sayo (feat. Bosx1ne),00QxPiv5tWA0DivDF4bFzR,John Roa,0.01791493742149075,hopeful,0.549,0.554,0.777222246803239,0.846,0.687,0.6119857067003429
Ulit Ulit,6yD8NP7uG1nmI0koeu4xi7,John Roa,0.017933648005224567,hopeful,0.477,0.705,0.7284190965001549,0.489,0.399,0.5994097077718621
Mahika,3gkwEytdCYIsrFdfEE2ALW,TJ Monterde,0.01804347786534999,hopeful,0.545,0.49,0.7645236936418744,0.557,0.372,0.6696085606723782
How Sweet It Is (To Be Loved by You),4C6IuZXleX02szHjhsjdFV,Daniel Padilla,0.018498956822845858,hopeful,0.529,0.52,0.7585062607849211,0.362,0.612,0.5026237867676956
How Sweet It Is - To be Loved by You,4nfJ7njbI3RfGp0lBFeBpu,Daniel Padilla,0.018498956822845858,hopeful,0.529,0.52,0.7585062607849211,0.362,0.612,0.5026237867676956
It Came Upon A Midnight Clear,6GLBq3axVbm7fem4wUKHOV,Moira Dela Torre,0.01905424520451826,hopeful,0.598,0.455,0.686031591522499,0.774,0.38,0.5419064429870508
